,Text,Username,Unnamed: 0,Datetime,polarity
123,“Bitcoin is the main cryptocurrency in the world. It solves a lot of problems. There is no oversupply.” - @nayibbukele,APompliano,39431,2021-06-09 05:18:04+00:00,Neutral
124,"I literally can’t sleep.

Absolutely unreal what is happening.",APompliano,39440,2021-06-09 04:38:15+00:00,Neutral
125,Here is a testimonial from @AtlSoldByRyan who now works at Kraken: https://t.co/L8uJ9ylhrl,APompliano,39493,2021-06-07 23:26:17+00:00,Neutral
126,Today’s episode with @EdanYago from Sovryn is absolute 🔥 https://t.co/5oErlReLtM,APompliano,39507,2021-06-07 20:36:18+00:00,Neutral
127,"Very cool to see @Blockstream and @Square partnering to build a solar-powered bitcoin mining facility.

(H/t @BitcoinMagazine)",APompliano,39565,2021-06-05 18:19:38+00:00,Positive
128,@chicagokid1971 @solo_whitby @danheld @SovrynBTC MySpace wasn’t the first social network.,APompliano,39646,2021-06-02 15:45:21+00:00,Neutral
129,"@solo_whitby @danheld Who said anything about maximalism? I've invested in plenty of things outside of bitcoin, including things that are interopertable between bitcoin and Ethereum like @SovrynBTC 

Helps to listen to the episode before replying :)",APompliano,39649,2021-06-02 14:55:20+00:00,Neutral
130,Surround yourself with problem solvers.,APompliano,39689,2021-05-31 16:33:51+00:00,Neutral
131,@ch8nya1 Agreed. The biggest pacifists you’ll ever meet are the soldiers who have experienced combat.,APompliano,39693,2021-05-31 12:19:32+00:00,Positive
132,It is nearly impossible not to cheer for entrepreneurs with the courage and conviction to try to solve hard problems.,APompliano,39753,2021-05-28 00:36:17+00:00,Negative
133,"Where you went to school doesn’t matter.

People want to know if you’re resourceful, have critical thinking skills, and can solve problems.

Your diploma doesn’t produce results in the real world.",APompliano,39790,2021-05-26 22:57:16+00:00,Neutral
134,"@andrewrsorkin @novogratz Lastly, as @HRF's Chief Strategy Officer continues to argue, Bitcoin is likely the most important currency in the world in terms of defending people's rights and freedoms.

Example after example of how bitcoin is only solution for many in need globally.

https://t.co/xJBwsGaLuP",APompliano,39813,2021-05-26 01:32:29+00:00,Neutral
135,@ameensol @cburniske @VitalikButerin Will read.,APompliano,39826,2021-05-25 22:21:19+00:00,Neutral
